whaleName,Species,IndNum,Location
bb180304-42,Minke,1,Antarctic
bb190224-52,Minke,2,Antarctic
bb190225-54,Minke,3,Antarctic
bb190225-55,Minke,4,Antarctic
bb190228-55b,Minke,5,Antarctic
bb190302-48,Minke,6,Antarctic
bb190302-52,Minke,7,Antarctic
bb190302-53,Minke,8,Antarctic
bb190304-18,Minke,9,Antarctic
bb190309-52,Minke,10,Antarctic
bp180828-44,Fin,11,Monterey
bw170813-44,Blue,12,Monterey
bw170814-31,Blue,13,Monterey
bw170814-40,Blue,14,Monterey
bw170814-50,Blue,15,Monterey
bw170814-51,Blue,16,Monterey
bw170815-28,Blue,17,Monterey
bw170815-43,Blue,18,Monterey
bw170816-27,Blue,19,Monterey
bw170816-51,Blue,20,Monterey
bw180827-52,Blue,21,Monterey
bw180828-49,Blue,22,Monterey
bw180829-30,Blue,23,Monterey
bw180829-47,Blue,24,Monterey
bw180830-40,Blue,25,Monterey
bw180830-42,Blue,26,Monterey
bw180830-46,Blue,27,Monterey
bw180830-49,Blue,28,Monterey
bw180830-52b,Blue,29,Monterey
bw180904-44,Blue,30,Monterey
bw180905-42,Blue,31,Monterey
bw180905-49,Blue,32,Monterey
bw180905-53,Blue,33,Monterey
mn170703-40,Humpback,34,Monterey
mn180227-44,Humpback,35,Antarctic
mn180302-47,Humpback,36,Antarctic
mn190225-40,Humpback,37,Antarctic
mn190228-42,Humpback,38,Antarctic
mn190228-44,Humpback,39,Antarctic
mn190305-44,Humpback,40,Antarctic
mn190306-42,Humpback,41,Antarctic
mn190309-44b,Humpback,42,Antarctic
