Species,TL,BZigDR,LjawDR,JawAreaDR
Blue,28.2,3.31,5.92,19.605562
Blue,26.35,3,5.45,16.341741
Blue,26.3,3,5.4,16.1861052
Blue,26.35,2.96,5.34,15.8024085
Blue,25.7,3.18,5.34,16.9756013
Blue,25.68,2.61,5.28,13.7838088
Blue,26.95,3.1,5.28,16.3589265
Blue,25.95,3.1,5.28,16.3589265
Blue,26.6,3.02,5.27,15.9089232
Blue,26.2,3.09,5.23,16.1496405
Blue,25.5,3.04,5.22,15.8789301
Blue,26.65,2.9,5.2,15.084879
Blue,26.2,3.4,5.18,17.6054679
Blue,24.7,2.63,5.09,13.3945193
Blue,23.9,2.7,5.08,13.7262806
Blue,23.3,2.95,5.02,14.8022037
Blue,26.15,2.84,4.94,14.029485
Blue,25.5,2.79,4.94,13.7733557
Blue,24.45,2.8,4.92,13.7896518
Blue,24.9,2.73,4.92,13.4433791
Blue,25.1,3.16,4.9,15.4891906
Blue,24.45,2.86,4.9,14.0008904
Blue,24.3,2.75,4.86,13.3628143
Blue,24.55,2.84,4.85,13.7633386
Blue,25.8,3.5,4.84,16.9524335
Blue,23.4,2.7,4.81,12.9986143
Blue,24.9,2.74,4.81,13.1756968
Blue,24.45,2.58,4.78,12.329701
Blue,23.85,2.6,4.78,12.4182326
Blue,26,2.86,4.77,13.6429794
Blue,24.25,2.8,4.75,13.294104
Blue,24,2.8,4.75,13.294104
Blue,23.7,2.95,4.75,14.0009359
Blue,24.3,3,4.74,14.2147142
Blue,25.42,2.76,4.73,13.0628499
Blue,24.8,2.69,4.69,12.6187596
Blue,19.9,2.16,4.68,10.1021517
Blue,23.8,3,4.66,13.9942845
Blue,24.4,2.6,4.62,12.0135757
Blue,24.25,2.8,4.59,12.8556291
Blue,23.6,2.9,4.58,13.2696788
Blue,19.85,2.1,4.57,9.5989987
Blue,23.1,2.63,4.56,12.0042359
Blue,21.65,2.54,4.53,11.493914
Blue,22.75,2.6,4.52,11.7432534
Blue,23.9,2.78,4.51,12.5397107
Blue,23.9,2.95,4.46,13.1645299
Blue,23.9,2.7,4.4,11.8730946
Blue,23,2.69,4.39,11.8051088
Blue,22.58,2.7,4.38,11.8165956
Blue,21.85,2.66,4.35,11.5743933
Blue,23.1,2.71,4.33,11.7426445
Blue,23,2.65,4.3,11.396348
Blue,22.55,2.53,4.3,10.8731662
Blue,22,2.7,4.29,11.5903613
Blue,22,2.5,4.27,10.6770783
Blue,21.5,2.58,4.26,10.9880137
Blue,21.7,2.34,4.24,9.9253245
Blue,19.5,2.42,4.23,10.2374581
Blue,22.65,2.66,4.23,11.2401919
Blue,22.9,2.53,4.22,10.6884266
Blue,25.25,2.82,4.22,11.9024046
Blue,24.15,2.9,4.22,12.2313667
Blue,19.1,2.3,4.22,9.6967302
Blue,21.1,2.55,4.21,10.7386113
Blue,21.65,2.4,4.19,10.0598656
Blue,22,2.46,4.16,10.2386548
Blue,21.85,2.5,4.16,10.3902298
Blue,22,2.65,4.14,10.9797258
Blue,22.8,2.53,4.12,10.4240529
Blue,22.3,2.63,4.09,10.7672004
Blue,21.35,2.5,4.09,10.2334928
Blue,20.8,2.54,4.08,10.3549791
Blue,22.7,2.6,4.07,10.5749706
Blue,21.85,2.5,4.06,10.155048
Blue,21.4,2.25,4.05,9.1046841
Blue,21.1,2.42,4.01,9.7077901
Blue,20.85,2.15,3.96,8.5066062
Blue,21.7,2.4,3.95,9.4843737
Blue,20.4,2.2,3.95,8.6893038
Blue,20.5,2.35,3.93,9.2308571
Blue,21.6,2.65,3.92,10.3939388
Blue,21.45,2.7,3.91,10.567008
Blue,20.57,2.51,3.9,9.7970335
Blue,21.2,2.18,3.9,8.5032297
Blue,21.25,2.41,3.9,9.394171
Blue,22.1,2.55,3.9,9.9366191
Blue,22.35,2.56,3.9,9.971389
Blue,20.2,2.22,3.88,8.6236356
Blue,21.4,2.36,3.87,9.1433174
Blue,21.75,2.24,3.87,8.6715778
Blue,19.75,2.06,3.87,7.9621332
Blue,20.8,2.3,3.83,8.8115819
Blue,19.85,2.3,3.83,8.8115819
Blue,20.63,2.25,3.82,8.5898078
Blue,21.55,2.44,3.81,9.2949589
Blue,20.9,2.45,3.81,9.329121
Blue,20.5,2.48,3.8,9.4313066
Blue,21.1,2.5,3.8,9.4991776
Blue,20.1,2.5,3.77,9.4201911
Blue,20,2.25,3.76,8.4489747
Blue,20.9,2.41,3.73,8.9897765
Blue,20.02,2.31,3.73,8.6048585
Blue,20.6,2.34,3.72,8.7056492
Blue,20,2.17,3.71,8.0610973
Blue,19.65,2.38,3.69,8.7893564
Blue,20.55,2.35,3.67,8.6158432
Blue,19.2,2.3,3.63,8.354289
Blue,20.2,2.42,3.62,8.768385
Blue,19.3,2.2,3.62,7.9560955
Blue,20.65,2.34,3.62,8.4600304
Blue,20,2.47,3.59,8.8764718
Blue,19.3,2.16,3.59,7.7568063
Blue,18.39,2.25,3.59,8.0724453
Blue,19.8,2.23,3.58,7.9842954
Blue,21.1,2.6,3.57,9.283857
Blue,20.35,2.3,3.57,8.2094214
Blue,18.95,2.11,3.57,7.5269278
Blue,18.1,2.01,3.56,7.1573995
Blue,20,2.25,3.56,8.0016767
Blue,20.37,2.08,3.55,7.3857282
Blue,19.9,2.2,3.53,7.7719496
Blue,19.85,2.25,3.52,7.9308511
Blue,18.6,2,3.51,7.0206837
Blue,18.4,2.4,3.5,8.4
Blue,19.82,2.1,3.5,7.3409945
Blue,20.3,2.33,3.49,8.1333939
Blue,19.75,2.15,3.49,7.4994253
Blue,18.3,2.32,3.47,8.0534415
Blue,19.2,2.16,3.47,7.4857323
Blue,19.2,2.12,3.46,7.338018
Blue,18.25,2,3.46,6.9166466
Blue,19.45,2.1,3.44,7.2312914
Blue,19.1,2.2,3.41,7.4949967
Blue,18.6,2.1,3.39,7.1214465
Blue,18.8,2.1,3.39,7.1214465
Blue,19.4,2.3,3.39,7.7976106
Blue,18.7,2.16,3.38,7.3045375
Blue,19,2.2,3.38,7.4256111
Blue,18.5,2.02,3.35,6.7692307
Blue,19.45,2.35,3.35,7.8722808
Blue,18.25,1.98,3.34,6.6056966
Blue,18.65,2.16,3.33,7.1910809
Blue,19,2,3.32,6.64557
Blue,19.65,2.23,3.32,7.3983506
Blue,19,2.05,3.32,6.7960747
Blue,18.2,2.01,3.3,6.6337537
Blue,18.2,2.03,3.3,6.693546
Blue,18.9,2.1,3.3,6.9233468
Blue,18.8,1.97,3.3,6.493048
Blue,18.8,2.05,3.29,6.7531478
Blue,19.5,2.1,3.29,6.9013042
Blue,18.4,2.06,3.28,6.7612891
Blue,17.25,1.8,3.28,5.9016947
Blue,18.8,2.1,3.28,6.8792551
Blue,17.7,1.98,3.27,6.4816805
Blue,18.55,1.9,3.26,6.2027071
Blue,19.05,2.18,3.26,7.1127825
Blue,18.8,2.08,3.26,6.7767153
Blue,18.7,1.95,3.26,6.3515469
Blue,18.75,2.13,3.25,6.9223935
Blue,18,2,3.25,6.4992307
Blue,18.6,2.02,3.25,6.5579729
Blue,19.2,2.05,3.24,6.6457241
Blue,19.3,2.31,3.24,7.485104
Blue,18,2,3.23,6.4573679
Blue,18.15,2,3.22,6.4364276
Blue,18.45,2.02,3.22,6.4944806
Blue,19.4,2.1,3.21,6.7468199
Blue,18.5,1.95,3.2,6.2497044
Blue,18.35,2,3.2,6.3945289
Blue,18.8,2.21,3.19,7.0593416
Blue,16.95,2.02,3.19,6.4521216
Blue,19,2.12,3.18,6.7370985
Blue,19,1.96,3.16,6.1967315
Blue,17.8,1.93,3.16,6.0906027
Blue,18.5,1.83,3.15,5.7641151
Blue,17.8,1.97,3.15,6.2046478
Blue,18.45,1.91,3.13,5.9734086
Blue,18.05,2.13,3.12,6.6528923
Blue,18.4,1.8,3.12,5.6212187
Blue,20.15,2.15,3.12,6.7079914
Blue,18.8,2.15,3.12,6.7079914
Blue,17.7,2.15,3.12,6.7079914
Blue,19.2,2.2,3.11,6.8447936
Blue,17.3,1.82,3.11,5.6594392
Blue,17.6,1.9,3.1,5.8854321
Blue,17.8,2.3,3.09,7.1142164
Blue,17.75,1.82,3.09,5.6215024
Blue,18.3,1.95,3.08,6.0046941
Blue,17.8,1.8,3.07,5.5274949
Blue,17.9,1.85,3.06,5.6672765
Blue,17.53,1.98,3.04,6.0251566
Blue,18.2,1.86,3.04,5.6562046
Blue,17.03,2.3,3.04,6.9913947
Blue,18.2,2,3.04,6.0794737
Blue,18,2,3.02,6.0373504
Blue,18.6,2.18,3.01,6.5588299
Blue,16,1.74,3.01,5.2315871
Blue,18.05,2.08,3.01,6.2506682
Blue,17.5,1.85,3,5.5512255
Blue,18.05,1.9,2.95,5.6066099
Blue,17.5,1.9,2.95,5.6066099
Blue,17.85,2.07,2.94,6.0926873
Blue,16.9,1.95,2.94,5.7382291
Blue,17.1,1.71,2.93,5.0063809
Blue,17.5,2.1,2.92,6.1252
Blue,18,1.89,2.9,5.4808289
Blue,17,1.86,2.88,5.3637705
Blue,17.8,1.87,2.85,5.3305743
Blue,19.6,2.1,2.81,5.9015231
Blue,16.8,1.86,2.75,5.1091122
Blue,16.9,1.81,2.7,4.8915145
Blue,16.25,1.6,2.14,3.4160656
Blue,18.3,2.25,1.95,4.3842536
Humpback,8.4,1.45,1.647536039,2.388927257
Humpback,14.75,2.3,3.411378021,7.846169448
Humpback,13,1.85,2.958779309,5.473741722
Humpback,9.92,1.4,2.043428492,2.860799888
Humpback,11.5,1.9,2.527350391,4.801965743
Humpback,9.55,1.6,2.102974084,3.364758535
Humpback,8,1.27,1.737606112,2.206759762
Humpback,9.83,1.75,1.941977085,3.398459899
Humpback,12.27,1.93,2.500234989,4.825453529
Humpback,9.93,1.7,1.887432118,3.208634601
Humpback,9.7,1.59,1.965292599,3.124815233
Humpback,11.9,1.92,2.71529004,5.213356876
Humpback,14.13,2.18,3.029900988,6.605184155
Humpback,13.41,2.41,3.200683521,7.713647285
Humpback,11.37,1.91,2.610818837,4.986663979
Humpback,12.28,2.2,2.607470038,5.736434084
Humpback,11.3,2.17,2.439605501,5.293943937
Humpback,13.16,2.15,3.162273707,6.798888471
Humpback,13.55,2.4,3.234578798,7.762989115
Humpback,13.15,2.01,2.826654383,5.681575309
Humpback,12.5,2.11,2.701291358,5.699724765
Humpback,14.85,2.36,3.188667433,7.525255143
Humpback,13.55,2.15,2.992787162,6.434492399
Humpback,14.9,2.38,3.291489025,7.833743879
Humpback,10.5,1.67,2.303318259,3.846541492
Humpback,14.53,2.44,3.259140991,7.952304018
Humpback,11.27,1.64,2.833743108,4.647338697
Humpback,9.92,1.64,2.041470059,3.348010896
Humpback,13.66,2.3,3.018343917,6.942191009
Humpback,13.9,2.47,3.274870226,8.088929459
Humpback,9.9,1.9,2.258317958,4.29080412
Humpback,10.25,1.9,2.247465239,4.270183954
Humpback,12.72,2.25,2.618563538,5.891767959
Humpback,13.16,2.2,2.834007763,6.234817078
Humpback,11.38,2.19,2.478926179,5.428848332
Humpback,10.72,2.04,2.348020443,4.789961703
Minke,5.82,0.74,0.697997135,0.51651788
Minke,7.18,0.77,1.220727242,0.939959977
Minke,5.64,0.72,0.70320694,0.506308997
Minke,8.18,0.89,0.995025125,0.885572362
